Gene stable ID,Transcript stable ID,Gene type
ENSG00000291555,ENST00000707986,protein_coding
ENSG00000291559,ENST00000707990,protein_coding
ENSG00000141425,ENST00000587563,protein_coding
ENSG00000205758,ENST00000381554,protein_coding
ENSG00000152214,ENST00000326695,protein_coding
ENSG00000212710,ENST00000525417,protein_coding
ENSG00000134489,ENST00000256906,protein_coding
ENSG00000101773,ENST00000583700,protein_coding
ENSG00000156239,ENST00000303775,protein_coding
ENSG00000291606,ENST00000708164,protein_coding
ENSG00000283847,ENST00000640195,protein_coding
ENSG00000291608,ENST00000708173,protein_coding
ENSG00000284369,ENST00000640820,protein_coding
ENSG00000249209,ENST00000429238,protein_coding
ENSG00000291625,ENST00000708196,protein_coding
ENSG00000283812,ENST00000638179,protein_coding
ENSG00000284103,ENST00000639779,protein_coding
ENSG00000154736,ENST00000284987,protein_coding
ENSG00000291629,ENST00000708214,protein_coding
ENSG00000283852,ENST00000640915,protein_coding
ENSG00000291631,ENST00000708236,protein_coding
ENSG00000198445,ENST00000359963,protein_coding
ENSG00000157617,ENST00000449165,protein_coding
ENSG00000168234,ENST00000304621,protein_coding
ENSG00000118946,ENST00000484979,protein_coding
ENSG00000152484,ENST00000282344,protein_coding
ENSG00000141639,ENST00000400384,protein_coding
ENSG00000173276,ENST00000398505,protein_coding
ENSG00000120688,ENST00000379487,protein_coding
ENSG00000141622,ENST00000593230,protein_coding
ENSG00000099917,ENST00000445987,protein_coding
ENSG00000180440,ENST00000315190,protein_coding
ENSG00000159228,ENST00000466328,protein_coding
ENSG00000139514,ENST00000380752,protein_coding
ENSG00000177511,ENST00000324000,protein_coding
ENSG00000176641,ENST00000312828,protein_coding
ENSG00000159231,ENST00000290354,protein_coding
ENSG00000166510,ENST00000591504,protein_coding
ENSG00000088386,ENST00000376503,protein_coding
ENSG00000159216,ENST00000344691,protein_coding
ENSG00000291574,ENST00000708030,protein_coding
ENSG00000291581,ENST00000708045,protein_coding
ENSG00000175387,ENST00000262160,protein_coding
ENSG00000291582,ENST00000708051,protein_coding
ENSG00000166979,ENST00000469079,protein_coding
ENSG00000291596,ENST00000708077,protein_coding
ENSG00000291597,ENST00000708081,protein_coding
ENSG00000291598,ENST00000708084,protein_coding
ENSG00000291600,ENST00000708143,protein_coding
ENSG00000150907,ENST00000379561,protein_coding
ENSG00000159079,ENST00000431599,protein_coding
ENSG00000291603,ENST00000708152,protein_coding
ENSG00000041353,ENST00000586570,protein_coding
ENSG00000136152,ENST00000617325,protein_coding
ENSG00000091164,ENST00000217515,protein_coding
ENSG00000265590,ENST00000673740,protein_coding
ENSG00000283864,ENST00000640144,protein_coding
ENSG00000136141,ENST00000311191,protein_coding
ENSG00000134030,ENST00000256413,protein_coding
ENSG00000242220,ENST00000673907,protein_coding
ENSG00000099985,ENST00000215781,protein_coding
ENSG00000243627,ENST00000450895,protein_coding
ENSG00000154640,ENST00000339775,protein_coding
ENSG00000185721,ENST00000331457,protein_coding
ENSG00000102543,ENST00000251108,protein_coding
ENSG00000141441,ENST00000583696,protein_coding
ENSG00000184900,ENST00000397898,protein_coding
ENSG00000283985,ENST00000639297,protein_coding
ENSG00000283883,ENST00000639801,protein_coding
ENSG00000083520,ENST00000377767,protein_coding
ENSG00000154719,ENST00000352957,protein_coding
ENSG00000184828,ENST00000535628,protein_coding
ENSG00000176635,ENST00000336726,protein_coding
ENSG00000283979,ENST00000640199,protein_coding
ENSG00000283059,ENST00000635224,protein_coding
ENSG00000284792,ENST00000710385,protein_coding
ENSG00000155307,ENST00000400564,protein_coding
ENSG00000100365,ENST00000447071,protein_coding
ENSG00000205670,ENST00000481710,protein_coding
ENSG00000228075,ENST00000585477,protein_coding
ENSG00000141665,ENST00000577575,protein_coding
ENSG00000159263,ENST00000290399,protein_coding
ENSG00000133103,ENST00000416691,protein_coding
ENSG00000283302,ENST00000636000,protein_coding
ENSG00000280477,ENST00000630618,protein_coding
ENSG00000141437,ENST00000269205,protein_coding
ENSG00000183145,ENST00000485272,protein_coding
ENSG00000198089,ENST00000465646,protein_coding
ENSG00000160208,ENST00000340648,protein_coding
ENSG00000081138,ENST00000323011,protein_coding
ENSG00000160209,ENST00000398081,protein_coding
ENSG00000134779,ENST00000590258,protein_coding
ENSG00000102802,ENST00000380482,protein_coding
ENSG00000134871,ENST00000400163,protein_coding
ENSG00000160214,ENST00000475534,protein_coding
ENSG00000291729,ENST00000708475,protein_coding
ENSG00000291730,ENST00000708477,protein_coding
ENSG00000166603,ENST00000299766,protein_coding
ENSG00000229665,ENST00000544357,protein_coding
ENSG00000291649,ENST00000708285,protein_coding
ENSG00000291650,ENST00000708288,protein_coding
ENSG00000291651,ENST00000708291,protein_coding
ENSG00000291652,ENST00000708293,protein_coding
ENSG00000184564,ENST00000647374,protein_coding
ENSG00000166479,ENST00000299608,protein_coding
ENSG00000291653,ENST00000708298,protein_coding
ENSG00000291654,ENST00000708301,protein_coding
ENSG00000291655,ENST00000708304,protein_coding
ENSG00000291656,ENST00000708306,protein_coding
ENSG00000184226,ENST00000377865,protein_coding
ENSG00000291657,ENST00000708308,protein_coding
ENSG00000291659,ENST00000708311,protein_coding
ENSG00000291662,ENST00000708317,protein_coding
ENSG00000291663,ENST00000708320,protein_coding
ENSG00000291666,ENST00000708325,protein_coding
ENSG00000160216,ENST00000291572,protein_coding
ENSG00000291668,ENST00000708329,protein_coding
ENSG00000291669,ENST00000708334,protein_coding
ENSG00000291670,ENST00000708335,protein_coding
ENSG00000291672,ENST00000708338,protein_coding
ENSG00000291676,ENST00000708351,protein_coding
ENSG00000291677,ENST00000708353,protein_coding
ENSG00000291679,ENST00000708361,protein_coding
ENSG00000291681,ENST00000708364,protein_coding
ENSG00000291682,ENST00000708365,protein_coding
ENSG00000291684,ENST00000708367,protein_coding
ENSG00000100346,ENST00000407673,protein_coding
ENSG00000291687,ENST00000708373,protein_coding
ENSG00000291689,ENST00000708377,protein_coding
ENSG00000291690,ENST00000708378,protein_coding
ENSG00000291691,ENST00000708380,protein_coding
ENSG00000291692,ENST00000708383,protein_coding
ENSG00000291693,ENST00000708384,protein_coding
ENSG00000291694,ENST00000708386,protein_coding
ENSG00000291695,ENST00000708387,protein_coding
ENSG00000101542,ENST00000262717,protein_coding
ENSG00000291674,ENST00000708348,protein_coding
ENSG00000160218,ENST00000291574,protein_coding
ENSG00000175354,ENST00000589444,protein_coding
ENSG00000132950,ENST00000382909,protein_coding
ENSG00000241945,ENST00000456705,protein_coding
ENSG00000182968,ENST00000330949,protein_coding
ENSG00000175664,ENST00000479195,protein_coding
ENSG00000041515,ENST00000356711,protein_coding
ENSG00000157540,ENST00000646523,protein_coding
ENSG00000081913,ENST00000262719,protein_coding
ENSG00000100354,ENST00000441751,protein_coding
ENSG00000288194,ENST00000672025,protein_coding
