ensembl_transcript_id,external_gene_name
ENST00000518282,ZFHX4
ENST00000651020,ZFHX4
ENST00000650716,ZFHX4
ENST00000523625,ZFHX4
ENST00000524290,ZFHX4
ENST00000519536,ZFHX4
ENST00000522409,ZFHX4
ENST00000307750,ZBTB5
ENST00000395135,PML
ENST00000395132,PML
ENST00000268059,PML
ENST00000354026,PML
ENST00000268058,PML
ENST00000565898,PML
ENST00000569477,PML
ENST00000569965,PML
ENST00000567543,PML
ENST00000436891,PML
ENST00000435786,PML
ENST00000564428,PML
ENST00000359928,PML
ENST00000563500,PML
ENST00000564725,PML
ENST00000569161,PML
ENST00000565239,PML
ENST00000567606,PML
ENST00000566068,PML
ENST00000562086,PML
ENST00000570213,PML
ENST00000565317,PML
ENST00000476898,KLF8
ENST00000462627,KLF8
ENST00000468660,KLF8
ENST00000358094,KLF8
ENST00000374928,KLF8
ENST00000640927,KLF8
ENST00000296839,FOXQ1
ENST00000491143,ONECUT2
ENST00000481727,ONECUT2
ENST00000376504,PTF1A
ENST00000638469,PTF1A
ENST00000639082,PTF1A
ENST00000639873,PTF1A
ENST00000640579,PTF1A
ENST00000640697,PTF1A
ENST00000262367,CREBBP
ENST00000382070,CREBBP
ENST00000637492,CREBBP
ENST00000571763,CREBBP
ENST00000576720,CREBBP
ENST00000570939,CREBBP
ENST00000574740,CREBBP
ENST00000573517,CREBBP
ENST00000572569,CREBBP
ENST00000635919,CREBBP
ENST00000638158,CREBBP
ENST00000573672,CREBBP
ENST00000571826,CREBBP
ENST00000572134,CREBBP
ENST00000575237,CREBBP
ENST00000634839,CREBBP
ENST00000636002,CREBBP
ENST00000635753,CREBBP
ENST00000635899,CREBBP
ENST00000636895,CREBBP
ENST00000376980,DNAJC1
ENST00000483085,DNAJC1
ENST00000476103,DNAJC1
ENST00000447548,DNAJC1
ENST00000376946,DNAJC1
ENST00000491710,HIVEP1
ENST00000487103,HIVEP1
ENST00000379388,HIVEP1
ENST00000442081,HIVEP1
ENST00000478545,HIVEP1
ENST00000484210,HIVEP1
ENST00000399469,HIVEP1
ENST00000627968,HIVEP1
ENST00000541134,HIVEP1
ENST00000494318,HNF4G
ENST00000396419,HNF4G
ENST00000354370,HNF4G
ENST00000396423,HNF4G
ENST00000674002,HNF4G
ENST00000297689,NFIL3
