"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation_status"
"ENSG00000188419",3.99204302737913,5.42033304951218,0.711857762936962,7.61434844392105,2.65024949154855e-14,1.31306349839244e-13,"Upregulated"
"ENSG00000188677",6.71328319212392,6.16990270950892,0.704246157373101,8.76100301707458,1.93520623766853e-18,2.6387761946722e-17,"Upregulated"
"ENSG00000188785",5.96112808806661,6.00361671018571,0.705871644252504,8.50525270290939,1.81200470558016e-17,1.87157746302389e-16,"Upregulated"
"ENSG00000188786",4.39636673343361,5.55555540403561,0.711456188514877,7.80871049225463,5.77760406337468e-15,3.18668283723061e-14,"Upregulated"
"ENSG00000188807",4.3669972077084,5.55323789229212,0.709819815927103,7.82344725758181,5.13960956718215e-15,2.86271331241297e-14,"Upregulated"
"ENSG00000189184",6.21639715737562,6.06676188143623,0.710453716400004,8.5392781280357,1.35062928535633e-17,1.44792580259527e-16,"Upregulated"
"ENSG00000189369",5.99595157999535,6.00685799726796,0.715294971044197,8.3977355362908,4.55170900180995e-17,4.20053000266758e-16,"Upregulated"
"ENSG00000196136",43.4590554215243,8.86715006932547,0.826416850749869,10.7296336724979,7.38885046453209e-27,9.46051684005939e-25,"Upregulated"
"ENSG00000196139",7.37501501943184,6.30131299795204,0.748298386828856,8.42085605002542,3.73743256763343e-17,3.54446747501852e-16,"Upregulated"
"ENSG00000196196",5.76848523170413,5.95221559247146,0.728508242356407,8.1704162649123,3.07327193103746e-16,2.25056366805973e-15,"Upregulated"
"ENSG00000196263",9.52645613811054,6.67906145130163,0.754126824469677,8.85668197255618,8.24312741942778e-19,1.27227890829955e-17,"Upregulated"
"ENSG00000196387",5.52524072209594,5.89303652259469,0.708114814793205,8.32214832889164,8.6383113474392e-17,7.33968040113386e-16,"Upregulated"
"ENSG00000196440",6.44743641338758,6.11791524900951,0.709834393246727,8.61879236511299,6.76639234152377e-18,7.90305308598628e-17,"Upregulated"
"ENSG00000196456",5.93494703801444,6.00153603644713,0.707328334727672,8.48479516766111,2.16099053892095e-17,2.18546673578504e-16,"Upregulated"
"ENSG00000196458",5.00518414855804,5.75509144020889,0.710011818522555,8.10562766713448,5.2473910530048e-16,3.62123345956176e-15,"Upregulated"
"ENSG00000196470",4.57319584004768,5.62329627098065,0.710082174098944,7.91921903703091,2.39006987151751e-15,1.41415675552595e-14,"Upregulated"
"ENSG00000196502",9.87732856605646,6.72637604623301,0.767160414914914,8.76788728336438,1.82049945060251e-18,2.50247993351559e-17,"Upregulated"
"ENSG00000196557",45.2451775749645,8.92621941341679,0.742862547311779,12.0159771760178,2.92886741596481e-33,1.32501961898248e-30,"Upregulated"
"ENSG00000196569",42.8365427235625,8.84576116109282,0.727669126650721,12.1562958178639,5.31128821270244e-34,2.77249244703067e-31,"Upregulated"
"ENSG00000196646",5.57033880182403,5.90642129957529,0.71027336590461,8.3157015074792,9.12111238817294e-17,7.67938817197786e-16,"Upregulated"
"ENSG00000196653",5.03449076018722,5.75754068277671,0.709303436635297,8.11717578881134,4.77157375638177e-16,3.31761265479577e-15,"Upregulated"
"ENSG00000196730",10.9741608496956,6.87725257437044,0.753322469917049,9.12922798536424,6.89894979740896e-20,1.43169031575588e-18,"Upregulated"
"ENSG00000196814",5.97238000036438,6.00442344979197,0.706488573632167,8.49896753308026,1.91284390807624e-17,1.96179729373381e-16,"Upregulated"
