TF_gene,tissue_brain,TF_transcript_id_brain,target_gene_brain,target_transcript_id_brain,importance_brain,brain_percentage,brain_opposite_percentage,tissue_kidney,TF_transcript_id_kidney,target_gene_kidney,target_transcript_id_kidney,importance_kidney,kidney_percentage,kidney_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
ZNF706,brain,0,CNOT7,CNOT7-201,5.048200818137055,0.0,0.0,kidney,0,ZNF263,ZNF263-201,7.336673423649446,0.41515246897683156,0.5848475310231684,0.0,0,False
MBLAC2,brain,0,ZNF711,ZNF711-203,5.047851474368501,0.0,0.0,kidney,0,ZMYND11,ZMYND11-206,5.606903801994536,0.26965605644939095,0.730343943550609,-1.61275195071148,Downregulated,False
E2F1,brain,0,E2F1,E2F1-201,5.047022328142434,0.0,0.0,kidney,0,BRCA1,BRCA1-201,6.420108332528507,0.2545314900153609,0.7454685099846391,-2.63062297848276,Downregulated,False
CDH2,brain,0,CDC5L,CDC5L-201,5.042829515723045,0.0,0.0,kidney,0,NR1H4,NR1H4-209,4.382031745555712,0.0,0.0,-1.74297233455757,Downregulated,False
MCRS1,brain,MCRS1-201,COPS5,COPS5-201,5.040040829479416,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.389564636516249,0.4415698760249729,0.5584301239750271,-5.92567607576916,Downregulated,False
NSFL1C,brain,NSFL1C-212,CREB3,CREB3-201,5.03955082294453,0.0,0.0,kidney,0,NFYA,NFYA-201,4.871614766486198,0.32140179436418004,0.67859820563582,-6.92399765065627,Downregulated,False
TM2D2,brain,TM2D2-202,CDC5L,CDC5L-201,5.03665174187974,0.0,0.0,kidney,0,NFIX,NFIX-202,5.051806534212267,0.10337512054001928,0.8966248794599807,-4.72520981866022,Downregulated,False
ZXDC,brain,ZXDC-203,DMAP1,DMAP1-214,5.0335133075379135,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.850590191745419,0.4415698760249729,0.5584301239750271,-3.00212620279075,Downregulated,False
MAP1A,brain,0,PIN1,PIN1-201,5.032491490255247,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.680371218335182,0.4415698760249729,0.5584301239750271,-6.44924597429399,Downregulated,False
PEX14,brain,0,GTF2F1,GTF2F1-201,5.02982610564636,0.0,0.0,kidney,0,NFYA,NFYA-201,4.5194607565649205,0.32140179436418004,0.67859820563582,0.0,0,False
ELMO2,brain,ELMO2-201,NONO,NONO-201,5.028988108506217,0.0,0.0,kidney,0,ZNF263,ZNF263-201,4.877641648300462,0.41515246897683156,0.5848475310231684,-5.02577393507181,Downregulated,False
TMOD1,brain,0,TSC22D1,TSC22D1-203,5.02266252826445,0.0,0.0,kidney,0,ZMYND11,ZMYND11-202,4.381949814840436,0.19132870539520158,0.8086712946047985,-1.84605979653091,Downregulated,False
TMEM33,brain,TMEM33-202,CDC5L,CDC5L-201,5.021652907256681,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.729262686986491,0.4415698760249729,0.5584301239750271,-4.46023904085168,Downregulated,False
TPPP3,brain,TPPP3-201,HES6,HES6-201,5.007962825249636,0.0,0.0,kidney,0,RNF14,RNF14-203,4.3471248472033,0.3502539734556776,0.6497460265443225,-1.80756883428191,Downregulated,False
PKD1,brain,0,SIN3B,SIN3B-201,5.007935941448056,0.0,0.0,kidney,PKD1-208,NFIX,NFIX-202,4.369039208990669,0.10337512054001928,0.8966248794599807,0.0,0,False
CDS2,brain,0,PBX2,PBX2-201,5.002426057177363,0.0,0.0,kidney,0,NFYA,NFYA-201,6.094593889998379,0.32140179436418004,0.67859820563582,0.0,0,False
